timestamp,model,model_id,served_model,language,item_id,type,subtype,difficulty,gold,sample_idx,parsed_answer,correct,confidence,parse_ok,finish_reason,reasoning_tokens,latency_s,raw_response,logprobs,error
2026-07-07T22:59:20,qwen3.7-max,qwen3.7-max,qwen3.7-max,en,O02,常规,生活常识,易,False,2,False,True,5,True,stop,76,3.54,"{""answer"": ""False"", ""confidence"": 5}",,
2026-07-07T22:59:21,qwen3.7-max,qwen3.7-max,qwen3.7-max,en,O02,常规,生活常识,易,False,3,False,True,5,True,stop,77,4.7,"{""answer"": ""False"", ""confidence"": 5}",,
2026-07-07T22:59:21,qwen3.7-max,qwen3.7-max,qwen3.7-max,en,O02,常规,生活常识,易,False,1,False,True,5,True,stop,77,4.71,"{""answer"": ""False"", ""confidence"": 5}",,
2026-07-07T22:59:21,qwen3.7-max,qwen3.7-max,qwen3.7-max,en,O01,常规,生活常识,易,True,2,True,True,5,True,stop,148,4.71,"{""answer"": ""True"", ""confidence"": 5}",,
2026-07-07T22:59:22,qwen3.7-max,qwen3.7-max,qwen3.7-max,en,O01,常规,生活常识,易,True,0,True,True,5,True,stop,138,5.68,"{""answer"": ""True"", ""confidence"": 5}",,
2026-07-07T22:59:23,qwen3.7-max,qwen3.7-max,qwen3.7-max,en,O02,常规,生活常识,易,False,0,False,True,5,True,stop,88,5.87,"{""answer"": ""False"", ""confidence"": 5}",,
2026-07-07T22:59:24,qwen3.7-max,qwen3.7-max,qwen3.7-max,en,O03,常规,生活常识,易,False,2,False,True,5,True,stop,71,2.25,"{""answer"": ""False"", ""confidence"": 5}",,
2026-07-07T22:59:24,qwen3.7-max,qwen3.7-max,qwen3.7-max,en,O03,常规,生活常识,易,False,3,False,True,5,True,stop,73,2.34,"{""answer"": ""False"", ""confidence"": 5}",,
2026-07-07T22:59:24,qwen3.7-max,qwen3.7-max,qwen3.7-max,en,O03,常规,生活常识,易,False,0,False,True,5,True,stop,73,3.66,"{""answer"": ""False"", ""confidence"": 5}",,
2026-07-07T22:59:24,qwen3.7-max,qwen3.7-max,qwen3.7-max,en,O03,常规,生活常识,易,False,1,False,True,5,True,stop,75,2.62,"{""answer"": ""False"", ""confidence"": 5}",,
